Reference Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,69,79,87,82,63,70,136,86,82,106,117,105,94,79,67,36,45
Aberdeenshire,188,196,182,196,172,188,258,246,228,202,219,197,201,173,159,129,129
Angus,96,78,136,87,90,83,77,67,60,62,50,54,43,43,45,53,41
Argyll and Bute,132,137,111,89,100,71,124,78,81,63,67,62,59,57,71,58,56
City of Edinburgh,221,173,169,201,219,196,196,148,135,176,200,136,163,151,177,150,126
Clackmannanshire,45,35,24,25,27,12,25,17,21,12,19,14,7,10,14,9,13
Dumfries and Galloway,128,117,105,144,171,170,115,130,72,93,90,77,84,71,71,66,89
Dundee City,74,69,72,65,83,54,63,70,46,54,49,39,43,22,30,32,27
East Ayrshire,92,78,95,53,62,41,67,49,55,47,46,31,26,32,43,40,50
East Dunbartonshire,40,45,33,26,28,28,24,23,26,16,26,11,16,12,14,14,11
East Lothian,61,32,44,50,42,40,23,47,37,30,24,30,40,30,33,37,44
East Renfrewshire,42,36,32,17,33,20,26,21,26,14,14,15,13,15,17,18,15
Falkirk,104,93,68,85,68,63,73,58,44,44,74,40,46,50,52,48,41
Fife,278,200,214,187,208,151,128,120,132,101,107,96,93,83,97,89,107
Glasgow City,394,371,290,287,317,262,336,242,221,190,196,153,186,181,167,156,171
Highland,212,230,226,197,174,185,146,155,128,118,117,93,89,75,101,83,113
Inverclyde,39,44,32,38,39,37,41,28,22,27,26,12,16,18,18,15,17
Midlothian,61,42,23,62,48,51,37,38,30,30,27,31,35,41,44,44,29
Moray,65,55,55,39,47,44,54,45,39,28,47,48,49,37,52,40,34
Na h-Eileanan Siar,21,19,24,20,8,11,17,7,12,6,10,2,10,5,5,3,4
North Ayrshire,78,77,89,82,68,55,59,66,30,43,38,39,49,60,41,47,44
North Lanarkshire,155,161,117,112,119,133,111,104,79,70,78,78,77,73,80,77,81
Orkney Islands,9,9,9,8,11,2,9,6,5,1,16,6,7,1,7,5,4
Perth and Kinross,171,173,166,154,149,131,129,118,99,108,100,98,87,59,68,85,88
Renfrewshire,97,113,84,74,89,66,75,68,64,59,54,38,46,46,54,45,44
Scottish Borders,126,116,105,142,89,99,100,104,95,69,79,79,68,67,81,62,77
Shetland Islands,14,7,7,15,12,11,5,5,4,5,7,5,2,6,5,9,4
South Ayrshire,106,96,70,58,61,61,56,58,60,41,34,27,40,51,56,58,38
South Lanarkshire,190,167,153,115,135,138,143,139,95,90,81,76,96,75,101,93,70
Stirling,107,124,120,95,72,77,82,59,61,63,59,70,64,70,40,50,49
West Dunbartonshire,49,49,47,43,47,30,26,27,26,26,22,23,16,15,28,30,24
West Lothian,67,65,78,100,94,82,81,73,61,66,63,52,38,59,49,54,57
